"url","headline","summary","date","tag"
"https://www.bbc.com/sport/rugby-union/articles/cwy71j3jy42o","Dragons sign Tonga wing Inisi for next season","Tonga international Fine Inisi will join Dragons from Super Rugby Pacific side Moana Pasifika in the summer.","5 days ago","Dragons"
"https://www.bbc.com/news/articles/clyg250pe81o","Nissan to cut 11,000 more jobs and shut seven factories","The planned layoffs mean the Japanese carmaker has now cut about 15% of its workforce in the past year.","4 days ago","Business"
"https://www.bbc.com/news/articles/c3v5r1erdpgo","Why India could not stop IMF bailout to Pakistan","As one of 25 member groups on the IMF board, India's influence at the fund is limited, say experts.","2 days ago","Asia"
"https://www.bbc.com/news/videos/c1jx649g6g8o","Celebrations on the streets of Syria as US sanctions lifted","Celebrations on the streets of Syria as US sanctions lifted","3 days ago",NA
"https://www.bbc.com/news/articles/c8el64yyppro","Meet the team paid to break into top-secret bases","Hear from the team who test security by breaking into secure military facilities.","2 days ago","Technology"
"https://www.bbc.com/news/articles/cwy603eg0w8o","OpenAI says non-profit will remain in control after backlash","The move follows a bitter power struggle over the business.","5 May 2025","Business"
"https://www.bbc.com/sport/cricket/articles/cewg9zzvn50o","Surrey sign Australian Patterson for three matches","Surrey have signed former Australia international batter Kurtis Patterson for three County Championship matches in May.","2 May 2025","Surrey"
"https://www.bbc.com/news/articles/c9w84eerzv5o","Teen musician with hearing loss to record abroad","Freddie, 15, won an international competition giving him the chance to record at a studio in the US.","3 days ago","Nottinghamshire"
"https://www.bbc.com/sport/rugby-league/articles/cx204gk3wkmo","Castleford release forward Namo","Castleford Tigers release Papua New Guinea international forward Sylvester Namo.","23 Apr 2025","Castleford"
"https://www.bbc.com/news/articles/c15q5qzdjqxo","The people refusing to use AI","Worried about the environment and the loss of skills, some people are resisting the rise of AI.","5 May 2025","Technology"
"https://www.bbc.com/sport/rugby-union/articles/cwyn7ldl1gzo","England's Feyi-Waboso set to be fit for summer tours","England winger Immanuel Feyi-Waboso could be fit for the summer international tours, says Exeter boss Rob Baxter.","8 May 2025","Exeter"
"https://www.bbc.com/sport/motorsport/articles/cq8y44j011eo","North West 200 2025 - all you need to know & BBC coverage details","All you need to know about the 2025 North West 200 international road races, including BBC coverage.","4 May 2025","Motorbikes"
"https://www.bbc.com/sport/football/articles/c70e28y57k0o","Flick criticises turnaround after international break","Hansi Flick is unhappy that Raphinha and Ronald Araujo will miss Barcelona's rescheduled La Liga game against Osasuna.","26 Mar 2025","European Football"
"https://www.bbc.com/news/articles/cwy79j2n7d4o","Temu to stop selling goods from China directly to US customers","The online marketplace says it will move to a ""local fulfillment model"" in the US, with sales handled by locally based sellers.","2 May 2025",NA
"https://www.bbc.com/news/articles/cql6vgwyv4xo","Who should you trust for a weather forecast?","Weather influencers can provide useful local information but are also accused of exaggerating conditions.","1 May 2025",NA
"https://www.bbc.com/audio/play/p0l0smjp","From international nightmares to FA Cup dreams","David and Colin look ahead to the FA Cup quarter-final tie at Brighton","27 Mar 2025","Podcasts"
"https://www.bbc.com/news/articles/cp92r2kvk74o","US and UK agree to deal slashing Trump tariffs on cars and metals","It will leave a 10% import tax on most goods shipped from the UK to the US.","8 May 2025","Business"
"https://www.bbc.com/news/articles/cz7974l151po","iPhone maker announces plan to build Mitsubishi EVs","The Taiwan-made electric vehicle is expected to go on sale in Australia and New Zealand next year.","8 May 2025","Business"
"https://www.bbc.com/news/articles/ce8g2kpzx0go","Trump crypto soars as president offers dinner to top holders","The meme coin's website says its 220 top investors will be invited to a gala event with the president.","24 Apr 2025","Business"
"https://www.bbc.com/sport/football/articles/c4gend0z5dlo","Reading have 'full intention' of avoiding suspension","Reading Football Club have said they remain in close dialogue with the EFL and have the ""full intention"" of avoiding any potential suspension.","27 Mar 2025","Reading"
"https://www.bbc.com/news/articles/ce82k04dzepo","Soldiers using immersive room to train for war","Soldiers have been using the room to help them train for battles at war.","4 May 2025","England"
"https://www.bbc.com/news/articles/ce82k04dzepo","Soldiers using immersive room to train for war","Soldiers have been using the room to help them train for battles at war.","4 May 2025","England"
"https://www.bbc.com/news/articles/c99n8r38rdlo","What is bug hunting and why is it changing?","Bug hunters make money by funding flaws in software, but AI is changing the way they work.","28 Apr 2025",NA
"https://www.bbc.com/news/articles/cy8dpy27pv0o","Nissan says it could share global plants with Chinese state firm","Nissan announced this week that it would lay off another 11,000 workers and shut seven factories.","20 hrs ago","Business"
"https://www.bbc.com/news/articles/c62jxdxng7do","Who will win the race to develop a humanoid robot?","Humanoid robots are attracting a lot of investment but will China dominate the industry?","24 Apr 2025",NA
